Symbol,Security,Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",04/03/1957,66740,1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",26/07/2017,91142,1916
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",04/03/1957,1800,1888
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888)
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1467373,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/08/2015,718877,2008
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",04/03/1957,7084,1902
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",05/05/1997,796343,1982
ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",31/03/1981,8670,1949
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",09/07/2015,1158449,1932
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/1998,874761,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/1999,4977,1955
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",05/06/2000,1090872,1999
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",30/04/1985,2969,1940
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/2007,1086222,1998
ALK,Alaska Air Group,Industrials,Airlines,"SeaTac, Washington",13/05/2016,766421,1985
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",01/07/2016,915913,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",20/03/2017,1035443,1994
